,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
12,Jurong (West),2020,12,13,0.2,0.2,0.2,0.2,26.6,29.7,23.1,8.3,29.8
13,Jurong (West),2020,12,14,50.0,19.6,27.6,43.6,25.6,32.0,23.2,6.9,47.6
14,Jurong (West),2020,12,15,41.0,25.0,26.6,40.4,25.3,32.1,23.0,6.8,41.9
15,Jurong (West),2020,12,16,8.4,6.6,6.6,6.6,25.3,29.4,23.2,4.9,41.1
16,Jurong (West),2020,12,17,52.8,44.2,51.6,52.8,25.4,30.6,22.7,5.5,30.2
17,Jurong (West),2020,12,18,3.0,1.0,1.2,1.6,24.5,26.0,22.5,6.5,39.6
18,Jurong (West),2020,12,19,0.0,0.0,0.0,0.0,25.7,29.9,23.0,6.3,22.4
19,Jurong (West),2020,12,20,5.0,4.4,4.4,5.0,26.1,31.5,23.7,6.9,28.5
20,Jurong (West),2020,12,21,0.0,0.0,0.0,0.0,26.6,31.3,23.8,6.4,25.6
21,Jurong (West),2020,12,22,1.0,1.0,1.0,1.0,27.3,32.9,24.6,7.4,29.1
22,Jurong (West),2020,12,23,0.0,0.0,0.0,0.0,27.4,32.3,24.8,7.3,22.6
23,Jurong (West),2020,12,24,0.0,0.0,0.0,0.0,26.4,29.0,24.7,5.5,25.2
24,Jurong (West),2020,12,25,0.0,0.0,0.0,0.0,28.1,33.2,25.3,5.7,23.3
25,Jurong (West),2020,12,26,91.6,26.2,36.0,50.8,26.5,31.1,22.5,7.9,47.8
26,Jurong (West),2020,12,27,1.6,1.0,1.2,1.6,26.3,32.6,23.1,6.3,23.7
27,Jurong (West),2020,12,28,20.6,13.4,19.4,20.6,26.9,32.0,24.2,8.1,29.1
28,Jurong (West),2020,12,29,0.2,0.2,0.2,0.2,26.0,30.2,24.6,5.2,25.6
29,Jurong (West),2020,12,30,2.0,1.4,1.4,1.4,26.8,32.2,24.3,5.7,23.7
30,Jurong (West),2020,12,31,25.0,20.6,23.4,24.4,25.9,31.8,23.3,6.6,25.9
0,Jurong (West),2021,12,1,0.0,0.0,0.0,0.0,29.8,33.6,26.2,6.8,28.2
1,Jurong (West),2021,12,2,4.2,2.0,2.2,2.2,25.7,28.3,22.1,6.5,40.0
2,Jurong (West),2021,12,3,0.0,0.0,0.0,0.0,26.5,31.3,23.9,7.6,29.4
3,Jurong (West),2021,12,4,0.0,0.0,0.0,0.0,26.6,30.5,23.7,8.0,41.1
4,Jurong (West),2021,12,5,0.0,0.0,0.0,0.0,26.9,30.7,25.0,9.3,31.7
5,Jurong (West),2021,12,6,0.0,0.0,0.0,0.0,27.1,30.8,24.8,8.9,27.8
6,Jurong (West),2021,12,7,0.0,0.0,0.0,0.0,27.6,32.1,24.7,11.0,42.0
7,Jurong (West),2021,12,8,0.0,0.0,0.0,0.0,27.5,31.6,25.0,10.4,36.7
8,Jurong (West),2021,12,9,0.0,0.0,0.0,0.0,27.6,32.4,24.9,8.7,29.8
9,Jurong (West),2021,12,10,49.6,22.8,31.6,42.6,26.2,31.9,23.6,7.1,29.1
10,Jurong (West),2021,12,11,27.2,12.4,16.4,20.8,25.7,30.3,23.9,5.4,29.4
11,Jurong (West),2021,12,12,0.0,0.0,0.0,0.0,26.1,29.3,24.8,7.9,30.9
12,Jurong (West),2021,12,13,0.0,0.0,0.0,0.0,26.6,30.9,24.2,9.5,47.2
13,Jurong (West),2021,12,14,0.0,0.0,0.0,0.0,27.5,31.7,25.0,9.1,36.7
14,Jurong (West),2021,12,15,0.0,0.0,0.0,0.0,27.4,31.2,24.7,7.9,32.4
15,Jurong (West),2021,12,16,6.4,6.2,6.2,6.2,27.3,30.5,24.6,10.3,36.7
16,Jurong (West),2021,12,17,11.2,6.6,6.6,6.8,26.1,29.2,24.0,10.6,56.1
17,Jurong (West),2021,12,18,9.0,6.0,6.2,6.2,27.2,31.9,23.7,7.5,27.0
18,Jurong (West),2021,12,19,15.8,6.6,9.0,12.0,26.4,29.5,23.5,9.4,33.2
19,Jurong (West),2021,12,20,0.0,0.0,0.0,0.0,27.0,31.8,24.1,7.3,24.4
20,Jurong (West),2021,12,21,0.0,0.0,0.0,0.0,28.2,34.3,24.8,6.6,21.7
21,Jurong (West),2021,12,22,0.2,0.2,0.2,0.2,27.6,30.9,26.0,6.7,26.3
22,Jurong (West),2021,12,23,0.4,0.2,0.2,0.4,26.6,31.0,24.2,5.0,20.9
23,Jurong (West),2021,12,24,21.2,19.2,20.4,21.0,26.7,31.2,24.0,5.2,30.9
24,Jurong (West),2021,12,25,6.6,4.0,4.0,4.0,26.3,31.1,23.9,6.7,30.6
25,Jurong (West),2021,12,26,21.6,11.6,20.0,21.6,26.7,31.2,24.6,7.1,28.9
26,Jurong (West),2021,12,27,0.0,0.0,0.0,0.0,27.6,33.6,24.7,7.5,25.9
27,Jurong (West),2021,12,28,0.0,0.0,0.0,0.0,27.7,33.1,24.6,9.1,30.6
28,Jurong (West),2021,12,29,2.8,2.8,2.8,2.8,26.9,30.8,24.7,6.6,30.2
29,Jurong (West),2021,12,30,13.0,6.6,9.8,12.6,26.4,31.9,23.8,6.1,22.4
30,Jurong (West),2021,12,31,15.8,2.8,4.4,7.4,24.7,25.7,23.7,6.7,24.4
0,Jurong (West),2019,2,1,0.0,0.0,0.0,0.0,27.8,32.2,24.9,10.1,36.4
1,Jurong (West),2019,2,2,0.0,0.0,0.0,0.0,27.8,32.1,25.3,9.7,34.6
2,Jurong (West),2019,2,3,0.0,0.0,0.0,0.0,27.7,32.5,25.2,8.6,30.2
3,Jurong (West),2019,2,4,42.4,30.6,41.2,41.8,27.3,33.5,23.3,7.6,36.4
4,Jurong (West),2019,2,5,0.0,0.0,0.0,0.0,27.4,33.0,24.3,6.1,24.1
5,Jurong (West),2019,2,6,0.0,0.0,0.0,0.0,27.7,33.4,24.3,7.2,29.5
6,Jurong (West),2019,2,7,0.0,0.0,0.0,0.0,27.6,33.4,24.7,7.9,27.7
7,Jurong (West),2019,2,8,0.8,0.8,0.8,0.8,27.7,33.7,25.1,7.2,24.8
8,Jurong (West),2019,2,9,4.0,3.6,4.0,4.0,28.2,34.3,25.1,7.2,29.5
9,Jurong (West),2019,2,10,2.6,2.6,2.6,2.6,27.8,33.9,25.4,9.0,29.2
10,Jurong (West),2019,2,11,0.0,0.0,0.0,0.0,27.5,32.5,24.1,10.4,34.6
11,Jurong (West),2019,2,12,0.0,0.0,0.0,0.0,27.7,34.1,23.8,9.4,30.6
12,Jurong (West),2019,2,13,0.0,0.0,0.0,0.0,28.3,32.1,25.9,11.2,35.6
13,Jurong (West),2019,2,14,0.0,0.0,0.0,0.0,28.4,32.5,26.3,12.2,41.4
14,Jurong (West),2019,2,15,0.0,0.0,0.0,0.0,27.5,32.5,25.0,7.9,32.0
15,Jurong (West),2019,2,16,0.0,0.0,0.0,0.0,27.9,33.5,24.2,7.9,28.1
16,Jurong (West),2019,2,17,0.0,0.0,0.0,0.0,27.5,34.0,25.1,6.8,30.2
17,Jurong (West),2019,2,18,4.2,2.6,3.4,3.6,26.7,31.3,22.7,5.4,33.8
18,Jurong (West),2019,2,19,27.0,16.8,23.6,26.0,26.5,31.2,24.1,6.8,25.9
19,Jurong (West),2019,2,20,8.0,8.0,8.0,8.0,27.3,31.5,24.0,6.1,32.4
20,Jurong (West),2019,2,21,0.0,0.0,0.0,0.0,28.2,32.9,24.9,10.1,36.4
21,Jurong (West),2019,2,22,23.8,23.6,23.6,23.6,27.3,33.1,24.5,7.6,30.6
22,Jurong (West),2019,2,23,0.0,0.0,0.0,0.0,27.8,32.8,24.7,7.2,27.4
23,Jurong (West),2019,2,24,0.0,0.0,0.0,0.0,27.8,33.3,24.3,7.6,27.0
24,Jurong (West),2019,2,25,0.0,0.0,0.0,0.0,28.3,33.2,25.1,8.6,30.6
25,Jurong (West),2019,2,26,3.6,3.6,3.6,3.6,27.9,31.8,25.9,9.7,37.4
26,Jurong (West),2019,2,27,0.0,0.0,0.0,0.0,28.0,33.3,25.7,11.2,39.6
27,Jurong (West),2019,2,28,0.8,0.8,0.8,0.8,27.9,32.5,25.6,8.3,32.8
0,Jurong (West),2020,2,1,0.0,0.0,0.0,0.0,27.8,31.7,25.6,10.4,36.0
1,Jurong (West),2020,2,2,0.0,0.0,0.0,0.0,27.3,31.0,25.6,11.9,40.3
2,Jurong (West),2020,2,3,0.0,0.0,0.0,0.0,27.4,32.3,24.1,10.4,34.6
3,Jurong (West),2020,2,4,0.0,0.0,0.0,0.0,27.2,32.5,23.9,8.6,26.6
4,Jurong (West),2020,2,5,0.0,0.0,0.0,0.0,27.3,33.2,23.7,9.0,29.9
5,Jurong (West),2020,2,6,0.0,0.0,0.0,0.0,27.9,32.3,24.9,10.1,30.6
6,Jurong (West),2020,2,7,0.0,0.0,0.0,0.0,27.6,32.3,25.2,11.9,39.6
7,Jurong (West),2020,2,8,0.0,0.0,0.0,0.0,27.2,31.9,23.9,7.6,25.6
8,Jurong (West),2020,2,9,11.6,4.8,7.6,8.6,25.7,29.8,22.9,6.5,35.3
9,Jurong (West),2020,2,10,53.0,12.8,15.8,25.8,25.4,31.4,22.8,6.1,32.0
10,Jurong (West),2020,2,11,9.2,4.8,5.2,5.8,26.1,29.6,24.4,6.5,32.0
11,Jurong (West),2020,2,12,0.0,0.0,0.0,0.0,27.4,32.6,24.3,8.3,27.4
12,Jurong (West),2020,2,13,1.4,1.0,1.0,1.4,27.6,32.2,25.4,7.9,33.8
13,Jurong (West),2020,2,14,1.6,1.4,1.4,1.6,27.7,32.8,25.3,7.6,33.8
14,Jurong (West),2020,2,15,0.0,0.0,0.0,0.0,28.0,33.9,24.5,5.8,25.2
15,Jurong (West),2020,2,16,0.0,0.0,0.0,0.0,27.7,31.9,25.6,5.8,29.2
16,Jurong (West),2020,2,17,0.0,0.0,0.0,0.0,28.2,34.1,25.1,9.0,35.6
17,Jurong (West),2020,2,18,0.2,0.2,0.2,0.2,26.5,30.3,24.3,9.4,38.2
18,Jurong (West),2020,2,19,0.8,0.8,0.8,0.8,27.8,32.4,25.3,11.2,38.2
19,Jurong (West),2020,2,20,0.0,0.0,0.0,0.0,27.4,31.6,25.1,11.2,38.2
20,Jurong (West),2020,2,21,7.2,2.0,3.0,3.6,26.1,29.6,23.7,9.7,47.9
21,Jurong (West),2020,2,22,0.0,0.0,0.0,0.0,27.5,31.1,25.1,12.6,44.3
22,Jurong (West),2020,2,23,0.0,0.0,0.0,0.0,27.5,31.2,25.2,13.0,44.6
23,Jurong (West),2020,2,24,0.6,0.6,0.6,0.6,26.7,30.4,24.9,11.2,43.9
24,Jurong (West),2020,2,25,0.0,0.0,0.0,0.0,27.7,33.0,24.6,10.1,31.7
25,Jurong (West),2020,2,26,0.0,0.0,0.0,0.0,27.9,32.3,24.6,10.1,33.1
26,Jurong (West),2020,2,27,0.0,0.0,0.0,0.0,28.0,32.8,24.9,10.1,35.3
27,Jurong (West),2020,2,28,0.0,0.0,0.0,0.0,28.1,33.2,25.2,10.8,33.1
28,Jurong (West),2020,2,29,0.0,0.0,0.0,0.0,28.0,33.1,24.8,10.4,34.2
0,Jurong (West),2021,2,1,0.0,0.0,0.0,0.0,26.4,30.3,23.8,9.8,28.5
1,Jurong (West),2021,2,2,0.0,0.0,0.0,0.0,26.7,30.6,24.3,11.0,36.3
2,Jurong (West),2021,2,3,0.0,0.0,0.0,0.0,26.7,30.9,24.0,9.2,32.4
3,Jurong (West),2021,2,4,0.0,0.0,0.0,0.0,26.5,31.8,23.8,11.9,41.1
4,Jurong (West),2021,2,5,0.0,0.0,0.0,0.0,26.7,32.4,23.1,9.7,34.6
5,Jurong (West),2021,2,6,0.0,0.0,0.0,0.0,27.4,31.7,24.8,11.1,35.2
6,Jurong (West),2021,2,7,0.0,0.0,0.0,0.0,27.6,33.5,23.8,10.1,33.2
7,Jurong (West),2021,2,8,0.2,0.2,0.2,0.2,27.1,32.3,24.3,11.1,34.6
8,Jurong (West),2021,2,9,0.0,0.0,0.0,0.0,27.3,32.6,24.1,7.5,32.0
9,Jurong (West),2021,2,10,8.6,8.6,8.6,8.6,26.8,32.1,24.5,7.5,22.6
10,Jurong (West),2021,2,11,16.4,15.0,15.0,15.0,26.6,32.3,23.9,7.8,24.1
11,Jurong (West),2021,2,12,1.6,1.4,1.4,1.4,26.8,31.7,24.6,8.8,49.6
12,Jurong (West),2021,2,13,22.2,11.6,14.2,22.2,26.4,31.7,24.1,8.0,33.2
13,Jurong (West),2021,2,14,14.2,13.8,13.8,13.8,26.4,30.8,24.6,9.1,30.2
14,Jurong (West),2021,2,15,0.0,0.0,0.0,0.0,26.5,31.3,24.0,9.6,35.6
15,Jurong (West),2021,2,16,0.0,0.0,0.0,0.0,26.6,31.8,23.8,9.0,29.4
16,Jurong (West),2021,2,17,0.0,0.0,0.0,0.0,26.8,31.7,23.5,9.6,32.0
17,Jurong (West),2021,2,18,0.0,0.0,0.0,0.0,26.5,32.3,22.6,11.9,39.3
18,Jurong (West),2021,2,19,0.0,0.0,0.0,0.0,26.5,30.5,24.0,11.5,35.0
19,Jurong (West),2021,2,20,0.0,0.0,0.0,0.0,26.4,30.3,23.8,11.5,37.0
20,Jurong (West),2021,2,21,0.0,0.0,0.0,0.0,26.6,31.1,24.1,10.1,31.7
21,Jurong (West),2021,2,22,0.0,0.0,0.0,0.0,27.0,32.7,23.9,9.4,30.6
22,Jurong (West),2021,2,23,0.0,0.0,0.0,0.0,26.9,33.5,23.0,8.8,30.9
23,Jurong (West),2021,2,24,6.6,6.2,6.2,6.2,26.3,30.8,23.6,7.6,26.7
24,Jurong (West),2021,2,25,0.0,0.0,0.0,0.0,27.3,32.5,23.5,8.5,25.9
25,Jurong (West),2021,2,26,0.0,0.0,0.0,0.0,27.7,32.7,24.4,7.9,33.2
26,Jurong (West),2021,2,27,0.0,0.0,0.0,0.0,28.5,33.4,25.3,6.8,31.7
27,Jurong (West),2021,2,28,0.0,0.0,0.0,0.0,28.1,33.8,25.2,7.0,28.5
0,Changi,2022,2,1,0.0,0.0,0.0,0.0,28.2,32.6,25.6,12.9,33.3
1,Changi,2022,2,2,0.0,0.0,0.0,0.0,28.4,33.2,25.2,9.3,29.6
2,Changi,2022,2,3,0.2,0.2,0.2,0.2,28.7,33.6,25.7,12.7,35.2
3,Changi,2022,2,4,0.0,0.0,0.2,0.2,28.7,33.3,26.5,14.5,38.9
4,Changi,2022,2,5,0.8,0.4,0.4,0.4,27.9,32.7,25.7,12.8,46.3
5,Changi,2022,2,6,20.6,3.4,6.0,8.4,26.2,29.0,24.2,6.5,27.8
6,Changi,2022,2,7,0.8,0.6,0.6,0.8,26.5,30.1,24.8,7.6,31.5
7,Changi,2022,2,8,1.6,0.6,0.8,1.0,26.7,30.8,24.3,7.6,25.9
8,Changi,2022,2,9,29.6,9.0,14.4,16.6,26.3,31.5,24.6,6.3,27.8
9,Changi,2022,2,10,19.6,2.8,5.0,7.4,24.6,25.5,23.7,5.3,20.4
10,Changi,2022,2,11,3.8,1.2,2.0,2.4,25.5,29.1,23.3,5.9,27.8
11,Changi,2022,2,12,0.0,0.0,0.0,0.0,27.4,31.6,24.1,9.8,31.5
12,Changi,2022,2,13,20.6,12.4,18.4,20.6,27.4,32.2,23.7,7.9,29.6
13,Changi,2022,2,14,1.2,1.2,1.2,1.2,27.6,31.0,25.4,9.0,29.6
14,Changi,2022,2,15,0.0,0.0,0.0,0.0,28.1,31.9,26.4,12.0,35.2
15,Changi,2022,2,16,16.4,12.6,15.2,15.2,26.1,28.0,22.6,5.7,33.3
16,Changi,2022,2,17,0.0,0.0,0.0,0.0,27.8,31.5,24.5,9.3,29.6
17,Changi,2022,2,18,0.0,0.0,0.0,0.0,28.6,32.3,26.4,11.8,29.6
18,Changi,2022,2,19,5.0,4.2,4.8,4.8,27.9,31.5,26.2,8.2,29.6
19,Changi,2022,2,20,12.2,10.6,12.0,12.2,27.3,32.9,23.5,6.9,25.9
20,Changi,2022,2,21,0.0,0.0,0.0,0.0,28.2,32.3,25.7,11.0,35.2
21,Changi,2022,2,22,0.0,0.0,0.0,0.0,28.1,32.2,25.3,9.3,29.6
22,Changi,2022,2,23,0.0,0.0,0.0,0.0,27.5,31.8,25.1,9.1,31.5
23,Changi,2022,2,24,17.0,4.6,7.0,9.2,25.6,28.4,23.5,8.6,29.6
24,Changi,2022,2,25,25.0,22.0,25.0,25.0,27.0,32.6,23.2,8.3,35.2
25,Changi,2022,2,26,0.0,0.0,0.0,0.0,26.6,29.8,24.5,7.3,24.1
26,Changi,2022,2,27,0.6,0.6,0.6,0.6,27.2,31.0,24.9,10.9,31.5
27,Changi,2022,2,28,0.0,0.0,0.0,0.0,28.0,32.4,25.2,12.5,37.0
0,Jurong (West),2019,1,1,33.5,32.5,33.0,33.0,27.1,32.9,22.8,7.9,60.1
1,Jurong (West),2019,1,2,0.0,0.0,0.0,0.0,27.5,31.3,24.7,10.8,35.3
2,Jurong (West),2019,1,3,0.2,0.2,0.2,0.2,27.8,30.7,25.0,16.2,54.4
3,Jurong (West),2019,1,4,0.0,0.0,0.0,0.0,28.2,31.2,25.5,12.6,43.6
4,Jurong (West),2019,1,5,15.6,11.6,13.0,13.4,27.8,32.9,25.0,5.4,24.5
5,Jurong (West),2019,1,6,0.2,0.2,0.2,0.2,28.2,32.6,25.6,9.4,36.0
6,Jurong (West),2019,1,7,0.0,0.0,0.0,0.0,28.4,32.5,26.1,11.5,38.5
7,Jurong (West),2019,1,8,10.0,3.6,6.8,8.0,27.0,31.3,24.8,7.2,32.4
8,Jurong (West),2019,1,9,0.2,0.2,0.2,0.2,27.5,31.7,25.1,8.6,33.8
9,Jurong (West),2019,1,10,0.0,0.0,0.0,0.0,28.2,32.5,25.0,10.1,36.4
10,Jurong (West),2019,1,11,0.0,0.0,0.0,0.0,27.9,32.1,25.6,9.0,34.2
11,Jurong (West),2019,1,12,0.0,0.0,0.0,0.0,28.0,33.7,24.7,7.2,27.0
12,Jurong (West),2019,1,13,2.2,2.2,2.2,2.2,27.0,32.8,24.8,7.6,31.0
13,Jurong (West),2019,1,14,0.0,0.0,0.0,0.0,27.6,32.1,24.7,8.6,30.2
14,Jurong (West),2019,1,15,0.0,0.0,0.0,0.0,27.6,32.1,24.8,7.6,24.8
15,Jurong (West),2019,1,16,0.0,0.0,0.0,0.0,27.6,32.0,24.6,7.2,25.9
16,Jurong (West),2019,1,17,3.8,2.8,2.8,3.0,25.9,30.1,24.0,8.3,31.3
17,Jurong (West),2019,1,18,24.0,3.4,5.8,11.4,25.3,28.2,23.4,8.6,29.5
18,Jurong (West),2019,1,19,0.0,0.0,0.0,0.0,26.8,31.6,24.0,7.9,31.7
19,Jurong (West),2019,1,20,1.2,1.2,1.2,1.2,27.3,32.1,24.3,9.0,33.5
20,Jurong (West),2019,1,21,0.0,0.0,0.0,0.0,27.5,31.9,24.9,9.0,33.1
21,Jurong (West),2019,1,22,0.0,0.0,0.0,0.0,27.1,30.6,24.6,11.5,39.2
22,Jurong (West),2019,1,23,0.0,0.0,0.0,0.0,27.4,31.4,24.6,11.9,43.6
23,Jurong (West),2019,1,24,0.0,0.0,0.0,0.0,27.2,30.5,25.0,10.1,37.4
24,Jurong (West),2019,1,25,0.6,0.6,0.6,0.6,26.8,30.2,24.4,10.1,34.6
25,Jurong (West),2019,1,26,0.0,0.0,0.0,0.0,27.0,30.5,24.6,10.4,36.4
26,Jurong (West),2019,1,27,0.0,0.0,0.0,0.0,27.4,31.2,24.6,11.5,39.2
27,Jurong (West),2019,1,28,0.2,0.2,0.2,0.2,26.3,28.8,25.2,9.7,37.1
28,Jurong (West),2019,1,29,0.0,0.0,0.0,0.0,27.4,31.2,24.6,11.5,41.8
29,Jurong (West),2019,1,30,0.0,0.0,0.0,0.0,27.4,31.3,24.8,9.4,37.4
30,Jurong (West),2019,1,31,0.0,0.0,0.0,0.0,27.1,32.4,24.5,7.9,35.6
0,Jurong (West),2020,1,1,0.0,0.0,0.0,0.0,27.2,31.4,24.3,9.4,36.7
1,Jurong (West),2020,1,2,0.0,0.0,0.0,0.0,27.0,30.6,24.0,8.6,32.8
2,Jurong (West),2020,1,3,2.8,2.6,2.6,2.6,26.9,31.2,24.7,9.0,35.3
3,Jurong (West),2020,1,4,0.2,0.2,0.2,0.2,26.6,30.5,24.3,7.9,34.6
4,Jurong (West),2020,1,5,0.0,0.0,0.0,0.0,27.3,32.2,24.1,10.4,33.8
5,Jurong (West),2020,1,6,11.6,5.2,8.8,10.0,25.9,32.1,23.1,10.4,37.4
6,Jurong (West),2020,1,7,3.2,0.8,1.4,1.8,26.0,30.7,23.0,10.4,32.8
7,Jurong (West),2020,1,8,0.8,0.4,0.4,0.6,27.0,31.2,24.6,9.0,38.2
8,Jurong (West),2020,1,9,0.0,0.0,0.0,0.0,27.2,31.7,25.1,9.7,33.5
9,Jurong (West),2020,1,10,11.0,9.2,10.8,11.0,26.3,30.7,24.0,6.8,29.5
10,Jurong (West),2020,1,11,0.0,0.0,0.0,0.0,27.3,30.5,24.3,6.1,23.0
11,Jurong (West),2020,1,12,9.6,9.2,9.2,9.2,26.9,31.8,24.5,6.8,24.1
12,Jurong (West),2020,1,13,0.0,0.0,0.0,0.0,27.0,32.1,23.8,7.9,25.6
13,Jurong (West),2020,1,14,0.0,0.0,0.0,0.0,27.3,32.0,24.1,9.4,32.8
14,Jurong (West),2020,1,15,0.0,0.0,0.0,0.0,27.0,31.3,24.5,8.3,25.9
15,Jurong (West),2020,1,16,8.0,4.4,4.4,4.4,26.9,31.6,25.2,7.6,29.9
16,Jurong (West),2020,1,17,0.0,0.0,0.0,0.0,27.6,33.1,24.2,8.3,29.9
17,Jurong (West),2020,1,18,28.2,14.8,17.0,28.2,26.8,32.2,24.7,7.6,32.8
18,Jurong (West),2020,1,19,0.0,0.0,0.0,0.0,27.8,32.5,25.3,9.0,30.6
19,Jurong (West),2020,1,20,6.6,4.0,5.6,6.0,27.0,31.3,24.9,9.0,32.8
20,Jurong (West),2020,1,21,14.0,3.8,4.6,8.4,25.6,27.9,23.5,8.6,38.5
21,Jurong (West),2020,1,22,0.0,0.0,0.0,0.0,27.6,31.7,24.8,10.4,37.8
22,Jurong (West),2020,1,23,0.0,0.0,0.0,0.0,27.5,32.2,24.5,8.6,31.0
23,Jurong (West),2020,1,24,0.0,0.0,0.0,0.0,27.6,32.3,24.5,10.1,34.6
24,Jurong (West),2020,1,25,0.0,0.0,0.0,0.0,27.8,33.7,24.3,8.6,24.1
25,Jurong (West),2020,1,26,0.2,0.2,0.2,0.2,27.9,33.2,24.2,7.9,30.6
26,Jurong (West),2020,1,27,0.2,0.2,0.2,0.2,27.8,33.8,25.8,6.5,25.2
27,Jurong (West),2020,1,28,62.0,24.2,34.2,54.2,27.2,32.9,24.5,7.2,29.2
28,Jurong (West),2020,1,29,83.4,52.8,65.0,66.6,25.4,30.2,22.9,6.8,37.4
29,Jurong (West),2020,1,30,0.0,0.0,0.0,0.0,26.9,32.5,23.0,7.6,24.8
30,Jurong (West),2020,1,31,0.0,0.0,0.0,0.0,27.7,31.5,25.5,9.7,33.8
0,Jurong (West),2021,1,1,41.0,6.0,9.8,14.0,23.5,24.9,22.0,7.5,46.9
1,Jurong (West),2021,1,2,98.0,10.4,14.4,27.4,22.7,23.9,21.6,7.7,35.9
2,Jurong (West),2021,1,3,1.8,0.8,0.8,1.0,23.4,25.5,22.3,5.6,17.2
3,Jurong (West),2021,1,4,0.2,0.2,0.2,0.2,24.7,28.4,22.3,5.6,19.8
4,Jurong (West),2021,1,5,0.2,0.2,0.2,0.2,26.4,31.2,23.6,7.5,30.9
5,Jurong (West),2021,1,6,0.0,0.0,0.0,0.0,26.3,29.8,24.3,7.5,32.8
6,Jurong (West),2021,1,7,0.2,0.2,0.2,0.2,24.1,25.2,23.3,6.6,24.1
7,Jurong (West),2021,1,8,0.0,0.0,0.0,0.0,25.5,28.1,23.6,7.6,29.4
8,Jurong (West),2021,1,9,28.0,7.4,11.6,13.8,24.7,28.9,23.5,6.9,32.8
9,Jurong (West),2021,1,10,63.0,7.2,10.0,15.4,23.5,24.0,23.2,8.6,26.7
10,Jurong (West),2021,1,11,2.8,0.8,1.0,2.0,24.6,28.0,23.3,8.9,37.0
11,Jurong (West),2021,1,12,7.0,1.6,1.6,2.4,24.3,27.6,22.9,10.0,40.7
